fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240503 221241	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3271	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.010010597750283	0.6493784161914	1110	1801	10788	61924275.862069	49
20240503 222421	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3446	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100282328619916	0.659666460170574	1102	1794	10987	62168115.4422789	50
20240503 223534	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3276	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100122854366142	0.663317426480393	1057	1785	11234	61600848.5757121	51
20240503 225111	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4066	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100250548327181	0.58738973510788	988	1765	11095	61681416.7916042	52
20240503 230035	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2535	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.010012657266076	0.704936348122104	1138	1793	10367	61787695.6521739	53
20240503 232106	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4128	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100265710785633	0.505523157531421	797	1669	11015	61837338.8305847	54
20240503 233017	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1339	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0102316331813352	0.50259632285496	2047	1278	10187	63353122.9385307	55
20240503 234113	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1339	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0102316331813352	0.50259632285496	2047	1278	10187	63353122.9385307	56
20240503 235022	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1339	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0102316331813352	0.50259632285496	2047	1278	10187	63353122.9385307	57
20240503 235255	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0112736770891136	0.500117553745773	12	1999	16339	51824679.1604198	58
20240504 000359	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3088	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0101103341579537	0.876618388702102	1157	1623	11885	62603230.8845577	59
20240504 001536	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1900	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100381327784323	0.500048360500679	1844	1271	10638	62265070.4647676	60
20240504 003454	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3685	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0101539439859836	0.500472723484178	2045	1315	14093	60901509.7451274	61
20240504 005153	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3092	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.010036783731392	0.500954014177856	1343	1176	12116	61215478.2608696	62
20240504 011402	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4406	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100646070078659	0.537323161932999	2047	1403	13893	59732094.4527736	63
20240504 013055	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5214	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0101549915474126	0.881546159405975	1081	1763	12635	61324625.1874063	64
20240504 014226	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3288	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100419025669545	0.653543838469477	1212	1644	10688	61781037.4812594	65
20240504 015050	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2203	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0101540122848469	0.65407522519692	1124	1660	11530	62817016.4917541	66
